="description",="record_tracking_list_display_format_id",="age_group_desc",="RecordAgeGroupId",="record_tracking_list_event_id",="gender",="event_id",="distance",="stroke_code",="course_code",="RANK",="swim_time",="individual_time_id",="PersonId",="full_name_computed",="AthleteOrgUnitId",="lsc_id",="club_code",="meet_name",="MeetId",="country_code",="location",="location_country_code",="swim_date",="session_desc",="relay_lead_yn",="bios_display_swap_first_last_name_yn",="disable_name_swapping_yn"
="NCAA Division I Record Progressions",="6",="Open",="7",="1354",="M",="3",="200",="FR",="SCY",="4",="1:30.46",="153470706",="1423815",="Townley Haas",="8157",="Big 12",="TEX",="2016 NCAA DI - Men",="13430",="TEX",="",="",="3/25/2016",="Final",="Y",="Y",="Y"
="NCAA Division I Record Progressions",="6",="Open",="7",="1354",="M",="3",="200",="FR",="SCY",="5",="1:32.22",="181579716",="1017019",="Simon Burnett",="7969",="NCAA",="Div I",="2004 ST UT Invite",="34953",="Div I",="",="",="12/2/2004",="",="Y",="Y",="Y"
="NCAA Division I Record Progressions",="6",="Open",="7",="1342",="F",="4",="500",="FR",="SCY",="1",="4:24.06",="250997907",="2423430",="Katie Ledecky",="8528",="Pacifi",="STAN",="2017 NCAA DI - Women",="6360",="STAN",="",="",="3/16/2017",="Final",="Y",="Y",="Y"
="NCAA Division I Record Progressions",="6",="Open",="7",="1342",="F",="4",="500",="FR",="SCY",="2",="4:25.15",="197804986",="2423430",="Katie Ledecky",="8528",="Pacifi",="STAN",="2017 PAC 12 Champs women",="247",="STAN",="",="",="2/23/2017",="Final",="Y",="Y",="Y"
="NCAA Division I Record Progressions",="6",="Open",="7",="1342",="F",="4",="500",="FR",="SCY",="3",="4:26.46",="215869504",="2423430",="Katie Ledecky",="8528",="Pacifi",="STAN",="Ohio State Invitational",="93341",="STAN",="",="",="11/18/2016",="Final",="Y",="Y",="Y"
="NCAA Division I Record Progressions",="6",="Open",="7",="1342",="F",="4",="500",="FR",="SCY",="4",="4:30.37",="272166089",="724929",="Leah Smith",="8136",="ACC (A",="UVA",="2015 NCAA DI - Women",="32606",="UVA",="",="",="3/19/2015",="Prelim",="Y",="Y",="Y"
="NCAA Division I Record Progressions",="6",="Open",="7",="1342",="F",="4",="500",="FR",="SCY",="5",="4:31.90",="199917918",="2712687",="Cierra Runge",="8084",="Pacifi",="CAL",="2015 PAC-12 Champs women",="5094",="CAL",="",="",="2/26/2015",="Final",="Y",="Y",="Y"
="NCAA Division I Record Progressions",="6",="Open",="7",="1342",="F",="4",="500",="FR",="SCY",="6",="4:32.53",="251075060",="2780877",="Brittany MacLean",="8388",="SEC (S",="UGA",="2014 NCAA DI - Women",="10753",="UGA",="",="",="3/20/2014",="Final",="Y",="Y",="Y"
="NCAA Division I Record Progressions",="6",="Open",="7",="1342",="F",="4",="500",="FR",="SCY",="7",="4:32.71",="154139341",="1312986",="Allison Schmitt",="8388",="SEC (S",="UGA",="2011 NCAA DI - Women",="32569",="UGA",="",="",="3/17/2011",="Prelim",="Y",="Y",="Y"
="NCAA Division I Record Progressions",="6",="Open",="7",="1342",="F",="4",="500",="FR",="SCY",="8",="4:33.60",="209859351",="182836",="Caroline Burckle",="8619",="SEC (S",="FLOR",="2008 NCAA DI - Women",="62059",="FLOR",="",="",="3/20/2008",="Final",="Y",="Y",="Y"
="NCAA Division I Record Progressions",="6",="Open",="7",="1355",="M",="4",="500",="FR",="SCY",="1",="4:06.32",="206290404",="635478",="Kieran Smith",="8619",="SEC (S",="FLOR",="2021 Men's SEC Swimming & Divi",="5030",="FLOR",="",="",="2/24/2021",="Final",="Y",="Y",="Y"
="NCAA Division I Record Progressions",="6",="Open",="7",="1355",="M",="4",="500",="FR",="SCY",="1",="4:06.32",="185570341",="635478",="Kieran Smith",="8619",="SEC (S",="FLOR",="2020 SEC Champs",="31697",="FLOR",="",="",="2/19/2020",="Final",="Y",="Y",="Y"
="NCAA Division I Record Progressions",="6",="Open",="7",="1355",="M",="4",="500",="FR",="SCY",="3",="4:08.19",="247225240",="1423815",="Townley Haas",="8157",="Big 12",="TEX",="2019 NCAA DI - Men",="109353",="TEX",="",="",="3/28/2019",="Final",="Y",="Y",="Y"
